Implementacja,Czas,Filozof,CzasOczekiwania,PosilkiZjedzone
Naiwne,1,0,118.19,42
Naiwne,1,1,137.09,43
Naiwne,1,2,122.23,43
Naiwne,1,3,123.35,43
Naiwne,1,4,121.49,43
Naiwne,2,0,104.76,46
Naiwne,2,1,97.07,46
Naiwne,2,2,97.63,46
Naiwne,2,3,103.76,46
Naiwne,2,4,99.42,45
Naiwne,3,0,95.25,48
Naiwne,3,1,101.23,44
Naiwne,3,2,103.58,45
Naiwne,3,3,106.17,46
Naiwne,3,4,105.58,45
Naiwne,4,0,159.94,36
Naiwne,4,1,145.14,36
Naiwne,4,2,162.00,36
Naiwne,4,3,157.21,38
Naiwne,4,4,162.14,36
Naiwne,5,0,124.43,44
Naiwne,5,1,118.28,43
Naiwne,5,2,117.80,44
Naiwne,5,3,98.57,47
Naiwne,5,4,101.17,42
Z zaglodzeniem,1,0,36.52,67
Z zaglodzeniem,1,1,43.05,63
Z zaglodzeniem,1,2,41.19,68
Z zaglodzeniem,1,3,39.10,63
Z zaglodzeniem,1,4,44.78,65
Z zaglodzeniem,2,0,40.23,64
Z zaglodzeniem,2,1,51.49,59
Z zaglodzeniem,2,2,40.64,61
Z zaglodzeniem,2,3,51.02,60
Z zaglodzeniem,2,4,57.93,58
Z zaglodzeniem,3,0,35.89,70
Z zaglodzeniem,3,1,55.81,59
Z zaglodzeniem,3,2,46.69,61
Z zaglodzeniem,3,3,50.88,58
Z zaglodzeniem,3,4,41.86,64
Z zaglodzeniem,4,0,48.51,63
Z zaglodzeniem,4,1,40.45,64
Z zaglodzeniem,4,2,47.63,62
Z zaglodzeniem,4,3,47.00,64
Z zaglodzeniem,4,4,36.89,66
Z zaglodzeniem,5,0,41.09,66
Z zaglodzeniem,5,1,44.33,63
Z zaglodzeniem,5,2,41.48,62
Z zaglodzeniem,5,3,44.80,59
Z zaglodzeniem,5,4,41.30,64
Asymetryczne,1,0,34.11,70
Asymetryczne,1,1,49.21,61
Asymetryczne,1,2,44.88,65
Asymetryczne,1,3,62.46,54
Asymetryczne,1,4,56.90,59
Asymetryczne,2,0,31.39,69
Asymetryczne,2,1,50.37,62
Asymetryczne,2,2,37.25,64
Asymetryczne,2,3,70.65,55
Asymetryczne,2,4,59.93,56
Asymetryczne,3,0,22.67,76
Asymetryczne,3,1,48.66,62
Asymetryczne,3,2,51.15,59
Asymetryczne,3,3,50.62,63
Asymetryczne,3,4,55.26,62
Asymetryczne,4,0,35.97,67
Asymetryczne,4,1,41.93,61
Asymetryczne,4,2,41.89,66
Asymetryczne,4,3,65.80,54
Asymetryczne,4,4,63.89,54
Asymetryczne,5,0,32.94,65
Asymetryczne,5,1,66.30,56
Asymetryczne,5,2,50.79,58
Asymetryczne,5,3,50.25,61
Asymetryczne,5,4,48.15,59
Z arbitrem,1,0,32.69,68
Z arbitrem,1,1,42.48,64
Z arbitrem,1,2,43.11,65
Z arbitrem,1,3,38.31,65
Z arbitrem,1,4,39.32,63
Z arbitrem,2,0,35.51,67
Z arbitrem,2,1,51.05,58
Z arbitrem,2,2,40.66,65
Z arbitrem,2,3,37.86,66
Z arbitrem,2,4,60.48,56
Z arbitrem,3,0,46.36,61
Z arbitrem,3,1,45.58,62
Z arbitrem,3,2,43.36,61
Z arbitrem,3,3,56.50,60
Z arbitrem,3,4,42.98,58
Z arbitrem,4,0,48.49,61
Z arbitrem,4,1,44.37,63
Z arbitrem,4,2,46.61,61
Z arbitrem,4,3,43.65,62
Z arbitrem,4,4,46.17,64
Z arbitrem,5,0,53.83,59
Z arbitrem,5,1,46.75,64
Z arbitrem,5,2,35.19,68
Z arbitrem,5,3,41.95,65
Z arbitrem,5,4,46.58,62
